system,sigma,variant,cfg,rmse_rms,rmse_med,rmse_p95,anees,fire,metrics,covariance_policy,runs,cov_bad_runs,cov_bad_frac,secs,labels,gain,recal,metric
batt,1e-06,CKF,IPLF2,0.017636534834717662,1.5480020464463763e-05,0.0007356226448476233,1482115.7986871398,3.87546,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,894.9963457,v4,iplf,none,none
batt,3.162277660168379e-06,EKF,F0,1.9899328408653927,0.0016088543424057741,0.6492989373408583,4.468809764569133e+32,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,200.83441500000004,v4,conventional,none,none
batt,3.162277660168379e-06,EKF,F1,0.014901995723702722,6.816465536036646e-05,0.0018747157637612698,371160.57501027,0.16074666666666668,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,246.52443340000002,v4,single,single,I
batt,3.162277660168379e-06,EKF,F2,0.005740351446844516,2.7107089160466563e-05,0.00015291698817951343,4.033463314541203,0.14784833333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,361.6343541,v4,single,set,Pinv
batt,3.162277660168379e-06,EKF,F3,0.017185011218687252,2.409122000063033e-05,0.00017231180181667664,953.692538365595,0.01591333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,420.31446300000005,v4,mean,single,Pinv
batt,3.162277660168379e-06,EKF,F4,3.779214920132455e-05,2.018557963331148e-05,7.682596526901456e-05,1.8469259172970414,0.0022433333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,503.28525060000004,v4,mean,set,Pinv
batt,3.162277660168379e-06,EKF,IPLF2,1.8183870612982136,0.0005231035957616908,0.007037010310836024,1.2665529882396905e+25,3.4622900000000003,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,541.2094860999999,v4,iplf,none,none
batt,3.162277660168379e-06,EKF2,F0,0.09805944540040429,2.5301060077648464e-05,0.000812388316064639,25398278.13913722,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,315.4090167999999,v4,conventional,none,none
batt,3.162277660168379e-06,EKF2,F1,0.002310840452496102,2.100925706969694e-05,7.79317995545355e-05,307.8774951730175,0.05176,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,429.874739,v4,single,single,I
batt,3.162277660168379e-06,EKF2,F2,0.04408216142618937,2.9005015122020482e-05,9.906262696205673e-05,1.5519734449230618,0.14028500000000002,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,758.8124495000001,v4,single,set,Pinv
batt,3.162277660168379e-06,EKF2,F3,3.758481790325471e-05,2.1623314499107203e-05,7.586781250285964e-05,2.4951190516742967,0.0030383333333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,855.0848007000001,v4,mean,single,Pinv
batt,3.162277660168379e-06,EKF2,F4,3.2335560041255695e-05,2.17926088281605e-05,5.8521347569536104e-05,1.2127364647857803,0.001425,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,1170.126205,v4,mean,set,Pinv
batt,3.162277660168379e-06,EKF2,IPLF2,0.01560084577487053,1.7805771840418886e-05,0.0003850947800655217,824619.1595759407,3.6547716666666674,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,896.0819119999999,v4,iplf,none,none
batt,3.162277660168379e-06,UKF,F0,0.10453842831444506,3.0273177906750095e-05,0.005198447391187937,29904208.882397637,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,287.89217569999994,v4,conventional,none,none
batt,3.162277660168379e-06,UKF,F1,0.0023395191058644886,2.1965966389373802e-05,9.733880506723836e-05,548.5048680907861,0.06726166666666666,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,389.7693455000001,v4,single,single,I
batt,3.162277660168379e-06,UKF,F2,0.042762754606805196,2.9700212741913682e-05,0.00010096087557759216,1.2883669307877765,0.15118166666666666,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,722.1156457,v4,single,set,Pinv
batt,3.162277660168379e-06,UKF,F3,3.834150547985104e-05,2.1951248471754165e-05,7.709156003963652e-05,3.387112738254497,0.004351666666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,824.0354725000001,v4,mean,single,Pinv
batt,3.162277660168379e-06,UKF,F4,3.22552099775767e-05,2.1677957722215196e-05,5.875050369942604e-05,1.243627378983822,0.0014899999999999998,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,1134.6778685000002,v4,mean,set,Pinv
batt,3.162277660168379e-06,UKF,IPLF2,0.018845307328135934,1.9860603867199178e-05,0.0007987850773822628,741959.7646430547,3.883291666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,896.8493761000001,v4,iplf,none,none
batt,3.162277660168379e-06,CKF,F0,0.11433935078895385,3.210146207218388e-05,0.023114821689547843,25342616.145842616,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,262.34137250000003,v4,conventional,none,none
batt,3.162277660168379e-06,CKF,F1,0.003751181177735389,2.310603007773137e-05,0.0001983580075057445,9782.386262833763,0.06106166666666665,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,373.67949540000006,v4,single,single,I
batt,3.162277660168379e-06,CKF,F2,0.043524952940784185,2.4373673750454806e-05,6.14530494289518e-05,1.0462986963685579,0.04975833333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,655.8884734000001,v4,single,set,Pinv
