system,sigma,variant,cfg,rmse_rms,rmse_med,rmse_p95,anees,fire,metrics,covariance_policy,runs,cov_bad_runs,cov_bad_frac,secs,labels,gain,recal,metric
trn,2.371373705661655,EKF2,F4,0.026499295963143484,0.004427415420464762,0.008964267666444321,1.1242244170251903,7.000000000000001e-05,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,674.6212272000002,v4,mean,set,Pinv
trn,2.371373705661655,EKF2,IPLF2,0.15559673851797287,0.0047741138740897415,0.027330699218461502,122.11144610699758,3.11489,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,614.3968249,v4,iplf,none,none
trn,2.371373705661655,UKF,F0,0.2273453992384885,0.004873550989321883,0.03580822976163726,176.57526222365493,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,218.45216339999934,v4,conventional,none,none
trn,2.371373705661655,UKF,F1,0.21867770522895985,0.004690791959195572,0.028863403182226948,323.8485702700837,0.014648333333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,253.69690859999992,v4,single,single,I
trn,2.371373705661655,UKF,F2,0.047313190453735485,0.005117398659329701,0.07848875516544003,0.859544621959677,0.081745,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,418.1454947000002,v4,single,set,Pinv
trn,2.371373705661655,UKF,F3,0.10618111725179405,0.004635409236329203,0.010480233188524694,174.01667622245915,0.0265,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,451.28448320000007,v4,mean,single,Pinv
trn,2.371373705661655,UKF,F4,0.028581034939262975,0.004429096774707056,0.008969168548961922,1.0971087221856686,6.333333333333333e-05,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,582.8312926999997,v4,mean,set,Pinv
trn,2.371373705661655,UKF,IPLF2,0.15428614168711893,0.004699980135516308,0.025038144379060684,143.23529026876395,3.05428,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,565.7907578000004,v4,iplf,none,none
trn,2.371373705661655,CKF,F0,0.3102188926538345,0.005128596090899734,0.029729048800438536,147.076656052858,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,194.9573322999995,v4,conventional,none,none
trn,2.371373705661655,CKF,F1,0.229990987859845,0.004621515245815598,0.012765934508628835,485.38436492013034,0.038015,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,272.9205245999992,v4,single,single,I
trn,2.371373705661655,CKF,F2,0.2812525667093124,0.004749755461474622,0.04071289231838491,20.48967397462581,0.11955500000000002,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,383.4166817000005,v4,single,set,Pinv
trn,2.371373705661655,CKF,F3,0.11586743727599719,0.004538642843191476,0.009366075734973217,296.20043151526727,0.009511666666666668,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,441.94177539999964,v4,mean,single,Pinv
trn,2.371373705661655,CKF,F4,0.04992073297760771,0.0043943816698225335,0.008955502928185042,8.333223796671357,0.0012316666666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,518.3666094,v4,mean,set,Pinv
trn,2.371373705661655,CKF,IPLF2,0.250623252420867,0.005681327666685388,0.04127824681394945,194.66763494274187,3.1736016666666664,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,558.2916870999998,v4,iplf,none,none
trn,5.623413251903491,EKF,F0,0.32375140858285795,0.01462016113307922,0.07471840800705987,43.48049814095207,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,144.56803469999977,v4,conventional,none,none
trn,5.623413251903491,EKF,F1,0.2935557953255047,0.012911788193920961,0.06966756909453721,118.36352455739754,0.04518666666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,178.50163310000062,v4,single,single,I
trn,5.623413251903491,EKF,F2,0.5196072156066722,0.010525150232302192,1.701214741256582,25.54511487556339,0.14227166666666666,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,243.55468740000015,v4,single,set,Pinv
