system,idx,variant,labels,metrics,covariance_policy,n_paired,secs,sigma_meas,prior_scale,proc_scale,soh0,amp,soc0,order_rule,pts_F4,pts_ORDER,spec_ORDER,rmse_rms_F0,rmse_med_F0,rmse_p95_F0,anees_F0,fire_F0,ncovfail_F0,spec_F0,rmse_rms_F1,rmse_med_F1,rmse_p95_F1,anees_F1,fire_F1,ncovfail_F1,spec_F1,rmse_rms_F2,rmse_med_F2,rmse_p95_F2,anees_F2,fire_F2,ncovfail_F2,spec_F2,rmse_rms_F3,rmse_med_F3,rmse_p95_F3,anees_F3,fire_F3,ncovfail_F3,spec_F3,rmse_rms_F4,rmse_med_F4,rmse_p95_F4,anees_F4,fire_F4,ncovfail_F4,spec_F4,rmse_rms_IPLF2,rmse_med_IPLF2,rmse_p95_IPLF2,anees_IPLF2,fire_IPLF2,ncovfail_IPLF2,spec_IPLF2,rmse_rms_ORDER,rmse_med_ORDER,rmse_p95_ORDER,anees_ORDER,fire_ORDER,ncovfail_ORDER,hurst,A0,map_seed
batt,2,UKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,463.88926869999887,0.0011839036351734566,0.4792840881307068,0.7411423540292843,0.9244859543141899,2.9785429680120066,0.721554992777522,GH,63,54,single|single|Pinv,0.0017889622931086214,0.001324726558156844,0.003339178703500176,1.019331070564428,0.0,0,conventional|none|none,0.0017895652800497782,0.001322144024931571,0.0033309942952380145,1.0177298304320654,0.0,0,single|single|I,0.0017897138369807762,0.0013193113512977393,0.003328773731483436,1.0167677123315475,0.0,0,single|set|Pinv,0.0017895362883252092,0.0013201710653357786,0.0033231997889993327,1.017342233704325,0.0,0,mean|single|Pinv,0.0017896771167110923,0.0013227703288336986,0.003319467720536409,1.016826124307263,0.0,0,mean|set|Pinv,0.0017896431233992126,0.0013243504276355686,0.0033294949060805805,1.0183226503883556,2.0120666666666667,0,iplf|none|none,0.0017896900109278602,0.0013281092680335136,0.003318681434845829,1.0177132101926343,0.0,0,,,
batt,2,CKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,411.8196035000001,0.0011839036351734566,0.4792840881307068,0.7411423540292843,0.9244859543141899,2.9785429680120066,0.721554992777522,CKF-5,54,38,single|single|Pinv,0.0017890400907424363,0.001326838515580513,0.0033264815325499183,1.0192876454875404,0.0,0,conventional|none|none,0.0017896715265445554,0.0013275714173963458,0.00331838549400933,1.017797790779519,0.0,0,single|single|I,0.001789848779044858,0.0013265967086435973,0.003320704014218435,1.016806077917891,0.0,0,single|set|Pinv,0.0017897206275260772,0.0013247503091689023,0.00332204185162604,1.0176957254018666,0.0,0,mean|single|Pinv,0.0017899228207184674,0.0013244534197080534,0.003323734753318309,1.017013792695846,0.0,0,mean|set|Pinv,0.0017896337450480947,0.001324165963758916,0.003329107036915486,1.018298298546632,2.0123333333333333,0,iplf|none|none,0.0017896713306503383,0.0013277426338069924,0.0033195208995435614,1.0176533136511328,0.0,0,,,
batt,3,EKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,244.01373859999876,0.0001814762196092153,2.56998864379715,0.27242276277367916,0.9480680291882232,1.7287563745546093,0.7363036575777093,EKF2,9,2,single|single|Pinv,1.542544013427654,0.000886598662473917,0.2014236153050448,1.608281299649124e+24,0.0,0,conventional|none|none,0.0067102117797078215,0.000363858446686185,0.0012530461067156535,3.423923624684895,0.18593333333333334,0,single|single|I,0.013105631355035651,0.0002706155639815739,0.001239210972396064,0.842679560283892,0.14615,0,single|set|Pinv,0.0004489244414828351,0.00025090364231954854,0.0008961978405089268,2.104394881470651,0.004416666666666666,0,mean|single|Pinv,0.0003466306761815059,0.0002272288187141875,0.0006872682633950719,0.9900447736848881,0.005833333333333333,0,mean|set|Pinv,0.0007309156567520848,0.00031410578916369876,0.0016735052987239467,10.616480413228706,3.1864166666666667,0,iplf|none|none,0.0003943362379066365,0.00024374408937140842,0.0007027587594432319,1.6961369558762218,0.0089,0,,,
batt,3,EKF2,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,484.17802819999997,0.0001814762196092153,2.56998864379715,0.27242276277367916,0.9480680291882232,1.7287563745546093,0.7363036575777093,EKF3,9,2,single|single|Pinv,0.011375100325424395,0.00023842106825578113,0.0007434405779968344,1207555.999800932,0.0,0,conventional|none|none,0.0003723062709949839,0.0002338004004335762,0.0006796551980426832,1.442886689302858,0.07273333333333334,0,single|single|I,0.0003799302195998813,0.00026385755746293404,0.0007091522427139995,0.8179156376454035,0.023733333333333335,0,single|set|Pinv,0.0003922579786795849,0.0002485210359508388,0.0007426427106819046,1.1998472087703627,0.0009333333333333333,0,mean|single|Pinv,0.0003562726276496111,0.00024586438455325343,0.000670192117856788,0.9075464901848932,0.0005333333333333334,0,mean|set|Pinv,0.0006604763021916519,0.0003147081302051304,0.00143942329847187,6.850982020390396,3.193,0,iplf|none|none,0.0003508300999290283,0.0002341083644702474,0.0006754355027982226,1.1618177770222493,0.004516666666666667,0,,,
batt,3,UKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,474.0385595000007,0.0001814762196092153,2.56998864379715,0.27242276277367916,0.9480680291882232,1.7287563745546093,0.7363036575777093,GH,63,54,single|single|Pinv,0.01404896276983221,0.00023938993070999945,0.0009809329981487318,5737940.817485842,0.0,0,conventional|none|none,0.0004174229389146027,0.00023844278613632155,0.0007068187594386948,2.4043673449570786,0.0775,0,single|single|I,0.00037895807296618636,0.00026239125839244535,0.0007041082746489459,0.8197625807430099,0.024266666666666666,0,single|set|Pinv,0.0004097793707178876,0.00025796776643733645,0.000758895517848439,1.4960581872724028,0.0010166666666666666,0,mean|single|Pinv,0.0003557143920252088,0.000246175085558451,0.0006724002367970308,0.9144414987471623,0.00055,0,mean|set|Pinv,0.000666901348805824,0.0003214408197532658,0.0014464747452596714,7.261642716536439,3.22185,0,iplf|none|none,0.00036213399923637187,0.00023856477938528702,0.0006937472137440631,1.1996783071236152,0.008566666666666667,0,,,
batt,3,CKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,427.55908440000167,0.0001814762196092153,2.56998864379715,0.27242276277367916,0.9480680291882232,1.7287563745546093,0.7363036575777093,CKF-5,54,38,single|single|Pinv,0.04111528024744393,0.0002670063142947998,0.0009194804497671848,27258.03844354162,0.0,0,conventional|none|none,0.0003473393430495989,0.00023230676660001924,0.0006714590086451305,1.082978232570113,0.07470000000000002,0,single|single|I,0.004190468703108326,0.0012620430551718088,0.009993945148825635,0.7992980872887415,0.5845999999999999,0,single|set|Pinv,0.0003961966423162938,0.00026555975119449664,0.0007805008907492428,1.185303117757164,0.00075,0,mean|single|Pinv,0.001209191105176607,0.00032817358367797126,0.0025724162264076475,0.9341875228237561,0.16385000000000002,0,mean|set|Pinv,0.0006777088524726245,0.0003325228256584788,0.0014653077587470655,7.563786614613133,3.2439833333333334,0,iplf|none|none,0.0003669910120778288,0.0002355066358653329,0.0006890471640191783,1.1847670052978831,0.011616666666666668,0,,,
batt,4,EKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,252.52500749999854,1.240774287127648e-06,0.3175055523290851,1.7989238371007368,0.8952154357481839,1.617454562889884,0.4309685666172582,EKF2,9,2,single|single|Pinv,0.021872002671154613,0.00017734581930182612,0.005023729909870052,273303.5373613515,0.0,0,conventional|none|none,3.515880366937474e-05,2.2783413287460887e-05,6.871471425672724e-05,2.481556532457356,0.114,0,single|single|I,0.0015572632748756267,2.248786574700721e-05,5.750492824702123e-05,7.51718803285324,0.21626666666666666,0,single|set|Pinv,4.171095993478663e-05,2.4858166207827156e-05,7.931713718943356e-05,3.2485393429815668,0.030866666666666667,0,mean|single|Pinv,2.894881121972361e-05,2.103295937734761e-05,5.421729394173251e-05,1.2191521877747027,0.0008666666666666667,0,mean|set|Pinv,8.373018908816959e-05,2.5785320473239198e-05,0.00012128964542720122,187.92753153391916,3.2453499999999997,0,iplf|none|none,2.700956938968391e-05,1.992737085696304e-05,4.908957342774989e-05,1.084864311820702,0.002616666666666667,0,,,
batt,4,EKF2,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,467.89335369999935,1.240774287127648e-06,0.3175055523290851,1.7989238371007368,0.8952154357481839,1.617454562889884,0.4309685666172582,EKF3,9,2,single|single|Pinv,2.823938472549594e-05,2.0323546126324893e-05,5.1855788903820245e-05,1.7309050624666515,0.0,0,conventional|none|none,2.734628672700661e-05,2.000916064767076e-05,4.962285707141162e-05,1.1149609637931255,0.10171666666666666,0,single|single|I,2.9854825128818376e-05,2.2393149599610745e-05,5.3424370706536176e-05,0.8188783544962123,0.17751666666666666,0,single|set|Pinv,3.166279697142426e-05,2.2052222054436137e-05,5.953644144199876e-05,1.3642003754743905,0.03825,0,mean|single|Pinv,2.7261540188620833e-05,1.966469218543078e-05,5.03742088898162e-05,1.0004268121434066,0.00021666666666666668,0,mean|set|Pinv,2.989414505462871e-05,2.06788351315116e-05,5.682913367906438e-05,2.9117670453585984,3.6504499999999998,0,iplf|none|none,2.782382645060956e-05,1.9757263594450548e-05,5.066869123037154e-05,1.1572180397683833,0.0037166666666666667,0,,,
batt,4,UKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,501.4366984999997,1.240774287127648e-06,0.3175055523290851,1.7989238371007368,0.8952154357481839,1.617454562889884,0.4309685666172582,GH,63,54,single|single|Pinv,4.358994685876276e-05,2.0749282251776002e-05,5.874185041036977e-05,16.382346372002935,0.0,0,conventional|none|none,2.7368189087088343e-05,2.000280882138336e-05,4.9232060062295936e-05,1.140262813347802,0.09771666666666667,0,single|single|I,2.9819563273108867e-05,2.233076235086494e-05,5.312702584425045e-05,0.818510763997785,0.17815,0,single|set|Pinv,3.304251731657838e-05,2.2169877542116905e-05,6.344088452537897e-05,1.541331620064237,0.03606666666666667,0,mean|single|Pinv,2.7259506920741946e-05,1.9670664920275943e-05,5.0446352633351004e-05,1.0037031015658056,0.00021666666666666668,0,mean|set|Pinv,3.067698393687323e-05,2.102906754308555e-05,5.9834625055159083e-05,3.3047820859077084,4.232833333333334,0,iplf|none|none,2.7847806963613955e-05,1.980572399296941e-05,5.061663855750385e-05,1.1689224217274208,0.0038999999999999994,0,,,
batt,4,CKF,v4,per-run-rms-p95-v1,square-root-joseph-v1,1000,443.5269215999997,1.240774287127648e-06,0.3175055523290851,1.7989238371007368,0.8952154357481839,1.617454562889884,0.4309685666172582,CKF-5,54,38,single|single|Pinv,3.581295292389629e-05,2.0077058845304888e-05,5.538609379344871e-05,8.534001284773646,0.0,0,conventional|none|none,2.8148607412787896e-05,2.0588132438808106e-05,5.1885966881902656e-05,1.2304986516075864,0.09198333333333333,0,single|single|I,3.0524548026069025e-05,2.2461998095493035e-05,5.557547630937104e-05,0.886873799097948,0.1799666666666667,0,single|set|Pinv,4.09775997499091e-05,2.4560393470052935e-05,8.417119783291765e-05,2.4416737974179124,0.02375,0,mean|single|Pinv,2.8266673390084426e-05,2.0305687219346706e-05,5.1628997790406425e-05,1.0986899298469501,0.0004,0,mean|set|Pinv,3.4460228795879234e-05,2.2107260118760302e-05,6.768178066746908e-05,4.569196123005979,3.7083000000000004,0,iplf|none|none,2.783998702254671e-05,1.9771629749360224e-05,5.064925209555921e-05,1.1669202046390805,0.003883333333333333,0,,,
